id,Date,APPLICATION,OFFERED,ANSWERED,AVG ANS DELAY,AVG ANS DELAY SECONDS,MAX ANS DELAY,ABANDONED,DelayCallsProduct
2017-09-28-ccc_311_lobby_ph_script,2017/09/28,ccc_311_lobby_ph_script,2,2,00:00:24,24,00:00:25,0,48
2017-09-28-ccc_aserv_info_script,2017/09/28,ccc_aserv_info_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-28-ccc_bylaw_script,2017/09/28,ccc_bylaw_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-28-ccc_city_script,2017/09/28,ccc_city_script,19,19,00:00:15,15,00:00:54,0,285
2017-09-28-ccc_cty_online_script,2017/09/28,ccc_cty_online_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-28-ccc_feedback_script,2017/09/28,ccc_feedback_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-28-ccc_fpb_script,2017/09/28,ccc_fpb_script,12,7,00:01:14,74,00:03:19,5,518
2017-09-28-ccc_help_script,2017/09/28,ccc_help_script,23,23,00:00:16,16,00:00:39,0,368
2017-09-28-ccc_link_script,2017/09/28,ccc_link_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-28-ccc_media_line_script,2017/09/28,ccc_media_line_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-28-ccc_priority_script,2017/09/28,ccc_priority_script,31,31,00:00:13,13,00:01:09,0,403
2017-09-28-ccc_tax_script,2017/09/28,ccc_tax_script,25,25,00:00:24,24,00:01:56,0,600
2017-09-28-ccc_waste_recycling_script,2017/09/28,ccc_waste_recycling_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-29-ccc_311_calgary_script,2017/09/29,ccc_311_calgary_script,3167,2978,00:00:49,49,00:05:46,189,145922
2017-09-29-ccc_311_lobby_ph_script,2017/09/29,ccc_311_lobby_ph_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-29-ccc_aserv_info_script,2017/09/29,ccc_aserv_info_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-29-ccc_bylaw_script,2017/09/29,ccc_bylaw_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-29-ccc_city_script,2017/09/29,ccc_city_script,17,17,00:00:15,15,00:01:15,0,255
2017-09-29-ccc_cty_online_script,2017/09/29,ccc_cty_online_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-29-ccc_feedback_script,2017/09/29,ccc_feedback_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-29-ccc_fpb_script,2017/09/29,ccc_fpb_script,2,2,00:01:25,85,00:02:45,0,170
2017-09-29-ccc_help_script,2017/09/29,ccc_help_script,19,19,00:00:10,10,00:00:31,0,190
2017-09-29-ccc_link_script,2017/09/29,ccc_link_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-29-ccc_media_line_script,2017/09/29,ccc_media_line_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-29-ccc_priority_script,2017/09/29,ccc_priority_script,18,18,00:00:06,6,00:00:17,0,108
2017-09-29-ccc_tax_script,2017/09/29,ccc_tax_script,22,20,00:01:12,72,00:03:20,2,1440
2017-09-29-ccc_waste_recycling_script,2017/09/29,ccc_waste_recycling_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-30-ccc_311_calgary_script,2017/09/30,ccc_311_calgary_script,1310,1234,00:00:46,46,00:11:05,76,56764
2017-09-30-ccc_311_lobby_ph_script,2017/09/30,ccc_311_lobby_ph_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-30-ccc_aserv_info_script,2017/09/30,ccc_aserv_info_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-30-ccc_bylaw_script,2017/09/30,ccc_bylaw_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-30-ccc_city_script,2017/09/30,ccc_city_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-30-ccc_cty_online_script,2017/09/30,ccc_cty_online_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-30-ccc_feedback_script,2017/09/30,ccc_feedback_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-30-ccc_fpb_script,2017/09/30,ccc_fpb_script,1,1,00:01:23,83,00:01:23,0,83
2017-09-30-ccc_help_script,2017/09/30,ccc_help_script,15,15,00:00:24,24,00:03:33,0,360
2017-09-30-ccc_link_script,2017/09/30,ccc_link_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-30-ccc_media_line_script,2017/09/30,ccc_media_line_script,0,0,00:00:00,0,00:00:00,0,0
2017-09-30-ccc_priority_script,2017/09/30,ccc_priority_script,12,12,00:00:04,4,00:00:08,0,48
2017-09-30-ccc_tax_script,2017/09/30,ccc_tax_script,1,1,00:00:13,13,00:00:13,0,13
2017-09-30-ccc_waste_recycling_script,2017/09/30,ccc_waste_recycling_script,0,0,00:00:00,0,00:00:00,0,0
2017-10-01-ccc_help_script,2017/10/01,ccc_help_script,6,6,00:00:16,16,00:00:58,0,96
2017-10-01-ccc_link_script,2017/10/01,ccc_link_script,0,0,00:00:00,0,00:00:00,0,0
2017-10-01-ccc_media_line_script,2017/10/01,ccc_media_line_script,1,1,00:00:04,4,00:00:04,0,4
2017-10-01-ccc_priority_script,2017/10/01,ccc_priority_script,12,12,00:00:10,10,00:01:00,0,120
2017-10-01-ccc_tax_script,2017/10/01,ccc_tax_script,0,0,00:00:00,0,00:00:00,0,0
2017-10-01-ccc_waste_recycling_script,2017/10/01,ccc_waste_recycling_script,0,0,00:00:00,0,00:00:00,0,0
2017-10-01-ccc_311_calgary_script,2017/10/01,ccc_311_calgary_script,978,951,00:00:23,23,00:05:31,27,21873
2017-10-01-ccc_311_lobby_ph_script,2017/10/01,ccc_311_lobby_ph_script,0,0,00:00:00,0,00:00:00,0,0
2017-10-01-ccc_aserv_info_script,2017/10/01,ccc_aserv_info_script,0,0,00:00:00,0,00:00:00,0,0
2017-10-01-ccc_bylaw_script,2017/10/01,ccc_bylaw_script,0,0,00:00:00,0,00:00:00,0,0
2017-10-01-ccc_city_script,2017/10/01,ccc_city_script,0,0,00:00:00,0,00:00:00,0,0
2017-10-01-ccc_cty_online_script,2017/10/01,ccc_cty_online_script,0,0,00:00:00,0,00:00:00,0,0
2017-10-01-ccc_feedback_script,2017/10/01,ccc_feedback_script,0,0,00:00:00,0,00:00:00,0,0
2017-10-01-ccc_fpb_script,2017/10/01,ccc_fpb_script,2,2,00:00:10,10,00:00:12,0,20
2017-10-02-ccc_311_calgary_script,2017/10/02,ccc_311_calgary_script,3001,2923,00:00:16,16,00:03:10,78,46768
